Cedula;Nombres;Edad;Genero;No de hijos;Nivel Educativo;Estrato Socio;Ingresos;Peso;Talla;Fuma;Usa Lentes;Tiene Casa;Tiene Automovil
1001023688;Caleb Figueroa;39;HOMBRE;1;SECUNDARIA;2;3182000;64;183;NO;NO;NO;NO
1011835272;Jonathan Perkins;46;HOMBRE;3;POSTGRADO;4;5607000;90;163;SI;SI;NO;NO
1012005757;John James;40;HOMBRE;0;SECUNDARIA;3;1633000;78;174;NO;NO;NO;SI
1012170500;James Fuentes;45;HOMBRE;3;PRIMARIA;3;2211000;81;162;NO;NO;NO;NO
1015693396;Adam Fischer;46;HOMBRE;3;PREGRADO;2;4149000;69;166;SI;NO;NO;NO
1016796462;Clayton Smith;52;HOMBRE;2;PREGRADO;2;3117000;98;177;SI;SI;SI;NO
1026386806;Victor Holland;38;HOMBRE;2;POSTGRADO;3;3454000;76;178;NO;SI;SI;SI
1026911435;Richard Carter;38;HOMBRE;3;PREGRADO;2;5472000;87;175;SI;SI;SI;SI
1030125450;Joshua Wright;46;HOMBRE;3;PRIMARIA;2;2771000;68;164;NO;SI;SI;SI
1034145123;Steven Mccoy;31;HOMBRE;1;POSTGRADO;2;4318000;73;176;SI;NO;SI;NO
1041666096;Timothy Matthews;34;HOMBRE;1;POSTGRADO;2;2927000;70;182;SI;SI;NO;SI
1042595048;Nicholas Green;57;HOMBRE;1;POSTGRADO;3;3387000;74;172;NO;SI;NO;NO
1047920257;Peter Green;43;HOMBRE;2;SECUNDARIA;3;2451000;86;162;NO;NO;NO;NO
1054824195;John Martin;23;HOMBRE;2;PREGRADO;3;3470000;69;171;SI;NO;SI;NO
1057017177;Phillip Townsend;48;HOMBRE;2;POSTGRADO;4;2821000;71;183;NO;SI;SI;NO
1059287925;Erik Smith;23;HOMBRE;2;POSTGRADO;2;4245000;89;164;NO;SI;NO;NO
1061139821;Jonathan Murray;41;HOMBRE;2;PREGRADO;4;5540000;96;179;SI;SI;SI;NO
1078700472;David Rodriguez;35;HOMBRE;1;SECUNDARIA;3;4794000;77;177;NO;SI;NO;NO
1079913135;Isaac Blair;43;HOMBRE;2;SECUNDARIA;3;2910000;86;172;SI;NO;NO;NO
1080216646;Michael Vega;35;HOMBRE;0;PRIMARIA;4;3551000;87;161;SI;NO;NO;SI
1086351017;Joseph Brooks;48;HOMBRE;0;SECUNDARIA;2;1945000;93;167;NO;SI;SI;SI
1092582221;Daniel Anthony;31;HOMBRE;0;PREGRADO;3;1881000;79;164;SI;NO;SI;SI
